id,created,updated,caption,visible,created_by_id,reference_id,primary_property_id,system_id,updated_by_id,is_figure,dimensionality,is_experimental,primary_unit_id,secondary_property_id,secondary_unit_id,sample_type,extraction_method,representative,primary_property_label,secondary_property_label,doi,space_group
139,2019-03-25 19:52:19,2019-03-25 19:52:19,,1,1,23,10,39,15,0,3,1,5.0,,,0,Manual entry,1,,,,
140,2019-03-25 19:52:27,2019-03-25 19:52:27,,1,1,23,10,39,15,0,3,1,5.0,,,0,Manual entry,0,,,,
144,2019-04-05 17:39:29,2019-06-09 17:26:49,,1,1,22,28,42,1,0,3,1,1.0,,,0,Manual entry,1,,,,
146,2019-04-05 17:52:57,2019-06-09 17:26:39,,1,1,22,28,44,1,0,3,1,1.0,,,0,Manual entry,1,,,,
147,2019-04-05 17:57:20,2019-06-09 17:27:02,,1,1,22,28,24,1,0,3,1,1.0,,,0,Manual entry,0,,,,
148,2019-04-05 18:07:09,2021-01-14 21:41:19,,1,1,22,28,39,35,0,3,1,1.0,,,0,Manual entry,1,,,,
149,2019-04-05 18:10:19,2019-06-09 17:29:04,,1,1,22,28,42,1,0,3,1,1.0,,,1,Manual entry,0,,,,
150,2019-04-05 18:17:51,2019-06-09 17:26:30,,1,1,22,28,24,1,0,3,1,1.0,,,1,Manual entry,0,,,,
151,2019-04-05 18:23:56,2019-06-09 17:24:32,,1,1,22,28,42,1,0,3,1,2.0,,,1,Manual entry,0,,,,
152,2019-04-05 18:29:37,2019-06-09 17:25:57,,1,1,22,28,24,1,0,3,1,1.0,,,1,Manual entry,0,,,,
153,2019-04-05 18:32:19,2019-06-09 17:26:09,,1,1,22,28,42,1,0,3,1,2.0,,,1,Manual entry,0,,,,
154,2019-04-05 18:36:23,2019-06-09 17:26:21,,1,1,22,28,24,1,0,3,1,1.0,,,1,Manual entry,0,,,,
155,2019-04-05 18:44:16,2019-06-09 17:31:46,,1,1,13,28,24,1,0,3,1,1.0,,,1,Manual entry,0,,,,
156,2019-04-08 02:16:01,2019-05-08 21:16:43,,1,1,19,10,38,15,0,3,1,1.0,,,2,Manual entry,1,,,,
157,2019-04-08 02:18:39,2019-05-08 21:18:57,,1,1,19,10,39,15,0,3,1,1.0,,,2,Manual entry,0,,,,
158,2019-04-08 02:21:35,2019-04-08 02:21:35,,1,1,23,10,39,15,0,3,1,5.0,,,2,Manual entry,0,,,,
159,2019-04-08 20:23:31,2019-04-16 20:32:46,,1,1,25,7,24,1,0,3,1,6.0,,,2,Manual entry,0,,,,
160,2019-04-08 20:26:33,2019-04-22 20:52:36,,1,1,25,7,40,1,0,3,1,6.0,,,2,Manual entry,0,,,,
161,2019-04-08 20:36:19,2019-04-22 20:52:36,,1,1,27,7,42,1,0,3,1,6.0,,,1,Manual entry,1,,,,
162,2019-04-08 20:38:30,2019-04-22 20:52:36,,1,1,27,7,42,1,0,3,1,6.0,,,0,Manual entry,0,,,,
163,2019-04-08 20:49:38,2019-06-09 02:16:15,,1,1,28,7,42,1,0,3,1,6.0,,,1,Manual entry,0,,,,
164,2019-04-08 20:53:29,2019-04-22 20:52:36,,1,1,28,7,44,1,0,3,1,2.0,,,1,Manual entry,1,,,,
165,2019-04-08 20:56:11,2019-04-22 20:52:36,,1,1,28,7,44,1,0,3,1,6.0,,,0,Manual entry,0,,,,
166,2019-04-08 21:05:32,2019-05-10 15:09:05,,1,1,29,7,1,1,0,3,1,6.0,,,1,Manual entry,0,,,,
167,2019-04-08 21:11:31,2019-05-10 15:08:57,,1,1,29,7,1,1,0,3,1,6.0,,,1,Manual entry,0,,,,
168,2019-04-08 21:15:04,2019-08-07 18:32:12,,1,1,29,7,1,1,0,3,1,6.0,,,1,Manual entry,0,,,,
169,2019-04-09 01:22:47,2019-08-07 18:31:38,,1,1,21,7,40,1,0,3,1,6.0,,,1,Manual entry,0,,,,
170,2019-04-09 01:27:02,2019-05-10 15:03:03,,1,1,21,7,1,1,0,3,1,6.0,,,1,Manual entry,0,,,,
171,2019-04-09 01:45:16,2019-06-09 02:45:56,,1,1,30,7,40,1,0,3,1,6.0,,,0,Manual entry,0,,,,
172,2019-04-09 01:48:04,2019-08-14 15:49:59,,1,1,30,7,1,15,0,3,1,6.0,,,0,Manual entry,0,,,,
173,2019-04-09 01:50:04,2019-06-09 02:38:59,,1,1,30,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
174,2019-04-09 01:55:03,2019-07-15 03:51:40,,1,1,15,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
176,2019-04-09 01:58:26,2019-04-22 20:52:36,,1,1,22,7,42,1,0,3,1,6.0,,,0,Manual entry,0,,,,
178,2019-04-09 02:01:08,2019-04-22 20:52:36,,1,1,22,7,44,1,0,3,1,6.0,,,0,Manual entry,0,,,,
179,2019-04-09 02:04:23,2019-05-10 17:54:58,,1,1,22,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
182,2019-04-09 02:09:56,2019-05-09 20:39:00,,1,1,22,7,39,1,0,3,1,6.0,,,0,Manual entry,1,,,,
183,2019-04-10 01:18:29,2019-05-09 20:41:44,,1,1,22,7,42,1,0,3,1,6.0,,,0,Manual entry,0,,,,
184,2019-04-10 01:23:29,2019-04-22 20:52:36,,1,1,22,7,44,1,0,3,1,6.0,,,0,Manual entry,0,,,,
185,2019-04-10 01:26:44,2019-04-16 20:32:46,,1,1,22,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
186,2019-04-10 02:14:36,2019-05-17 03:49:52,,1,1,13,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
187,2019-04-10 23:10:34,2019-05-10 17:15:52,,1,1,17,7,24,1,0,3,1,6.0,,,2,Manual entry,0,,,,
188,2019-04-10 23:21:42,2019-05-10 17:13:57,,1,1,17,7,24,1,0,3,1,6.0,,,2,Manual entry,0,,,,
189,2019-04-10 23:43:32,2019-05-10 16:55:52,,1,1,13,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
190,2019-04-10 23:54:28,2019-05-10 16:54:14,,1,1,13,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
191,2019-04-11 00:01:38,2019-04-16 20:32:46,,1,1,13,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
192,2019-04-13 21:59:51,2019-06-09 02:12:49,,1,1,14,7,24,1,0,3,1,2.0,,,1,Manual entry,0,,,,
193,2019-04-13 22:03:27,2019-06-09 02:13:06,,1,1,14,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
194,2019-04-13 22:12:24,2019-04-22 20:52:37,,1,1,24,7,24,1,0,3,0,6.0,,,0,Manual entry,0,,,,
195,2019-04-13 22:12:29,2019-04-22 20:52:37,,1,1,24,7,24,1,0,3,0,6.0,,,0,Manual entry,0,,,,
197,2019-04-13 22:44:41,2019-05-31 21:08:23,,1,1,24,7,24,15,0,3,1,6.0,,,1,Manual entry,1,,,,
198,2019-04-13 22:49:09,2019-05-10 16:44:02,,1,1,24,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
199,2019-04-13 22:51:19,2019-05-10 16:42:37,,1,1,24,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
200,2019-04-13 22:54:15,2019-05-10 16:41:19,,1,1,24,7,24,1,0,3,1,2.0,,,1,Manual entry,0,,,,
201,2019-04-13 22:58:18,2019-05-10 16:40:53,,1,1,24,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
202,2019-04-14 00:15:05,2019-05-22 04:56:55,,1,1,31,7,40,1,0,3,1,6.0,,,1,Manual entry,0,,,,
203,2019-04-14 00:21:40,2019-05-17 04:47:08,,1,1,31,7,40,1,0,3,1,6.0,,,1,Manual entry,0,,,,
204,2019-04-14 00:26:52,2019-05-09 20:14:27,,1,1,31,7,40,1,0,3,1,6.0,,,1,Manual entry,0,,,,
205,2019-04-14 19:46:03,2019-04-22 20:52:36,,1,1,22,7,39,1,0,3,1,6.0,,,0,Manual entry,0,,,,
206,2019-04-14 19:49:45,2019-04-22 20:52:36,,1,1,22,7,39,1,0,3,1,6.0,,,0,Manual entry,0,,,,
207,2019-04-14 19:54:16,2019-05-10 16:38:06,,1,1,13,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
208,2019-04-14 20:02:32,2019-04-16 20:32:46,,1,1,21,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
210,2019-04-14 20:09:56,2019-04-22 20:52:36,,1,1,23,7,39,1,0,3,1,6.0,,,0,Manual entry,0,,,,
211,2019-04-14 20:13:18,2019-04-22 20:52:36,,1,1,23,7,39,1,0,3,1,6.0,,,0,Manual entry,0,,,,
212,2019-04-14 20:17:51,2019-05-10 16:32:06,,1,1,14,7,24,1,0,3,1,6.0,,,1,Manual entry,0,,,,
216,2019-04-16 01:54:08,2019-08-15 00:52:18,,1,1,2,7,2,1,0,2,1,6.0,,,0,Manual entry,1,,,,
217,2019-04-16 01:54:09,2019-07-08 03:35:39,,1,1,3,7,3,1,0,3,1,6.0,,,0,Manual entry,1,,,,
218,2019-04-16 01:54:10,2019-07-12 03:36:14,,1,1,6,7,3,1,0,2,0,6.0,,,0,from author,0,,,,
220,2019-04-16 01:54:11,2019-08-15 01:58:08,,1,1,4,7,4,1,0,2,1,6.0,,,0,Manual entry,1,,,,
221,2019-04-16 01:54:12,2019-04-16 01:54:12,,1,6,5,7,5,6,0,3,1,6.0,,,0,"Atomic Simulation Environment (ASE), The American Mineralogist Crystal Structure Database",1,,,,
222,2019-04-16 01:54:12,2019-08-15 11:30:36,,1,1,7,7,6,1,0,2,1,6.0,,,0,Manual entry,1,,,,
223,2019-04-16 01:54:13,2019-08-15 11:26:44,,1,1,7,7,7,1,0,2,1,6.0,,,0,Manual entry,1,,,,
224,2019-04-16 01:54:14,2019-08-15 11:21:53,,1,1,7,7,8,1,0,2,1,6.0,,,0,Manual entry,1,,,,
225,2019-04-16 01:54:14,2020-02-25 19:12:43,,1,1,7,7,9,16,0,2,1,6.0,,,0,Manual entry,1,,,,
226,2019-04-16 01:54:14,2019-08-15 11:29:47,,1,1,7,7,10,1,0,2,1,6.0,,,0,Manual entry,1,,,,
227,2019-04-16 01:54:15,2019-08-15 00:53:32,,1,1,8,7,11,1,0,2,1,6.0,,,0,Manual entry,1,,,,
228,2019-04-16 01:54:15,2019-08-15 01:15:03,,1,1,9,7,12,1,0,2,1,6.0,,,0,Manual entry,1,,,,
229,2019-04-16 01:54:16,2019-08-15 01:50:24,,1,1,10,7,13,1,0,2,1,6.0,,,0,Manual entry,1,,,,
230,2019-04-16 01:54:16,2019-08-15 02:03:15,,1,1,11,7,14,1,0,2,1,6.0,,,0,Manual entry,1,,,,
231,2019-04-16 01:54:17,2019-07-06 15:33:49,,1,1,12,7,15,1,0,3,1,6.0,,,0,"Manual entry, Table 1",1,,,,
232,2019-04-16 01:54:17,2019-07-06 15:35:16,,1,1,12,7,16,1,0,3,1,6.0,,,0,"Manual entry, Table 1",1,,,,
233,2019-04-16 01:54:17,2019-07-06 15:35:46,,1,1,12,7,17,1,0,3,1,6.0,,,0,"Manual entry, Table 1",1,,,,
234,2019-04-16 01:54:18,2019-08-07 20:21:59,all-anti-(AE1T)PbBr4,1,1,6,7,18,1,0,3,0,6.0,,,0,from author,1,,,,
235,2019-04-16 01:54:18,2019-07-12 03:37:03,all-anti-(AE2T)PbBr4,1,1,6,7,19,1,0,3,0,6.0,,,0,from author,1,,,,
236,2019-04-16 01:54:19,2019-07-12 03:37:11,all-anti-(AE3T)PbBr4,1,1,6,7,20,1,0,3,0,6.0,,,0,from author,1,,,,
237,2019-04-16 01:54:20,2019-07-12 03:12:39,,1,1,6,7,21,1,0,3,0,6.0,,,0,from author,1,,,,
238,2019-04-16 01:54:21,2019-07-12 04:00:24,all-anti-AE4TPbCl4,1,15,96,7,21,1,0,3,0,6.0,,,0,"From author, HSE06+SOC",0,,,,
239,2019-04-16 01:54:22,2019-08-11 20:54:31,,1,1,6,7,22,1,0,2,0,6.0,,,0,from author,1,,,,
240,2019-04-16 01:54:22,2019-07-12 03:58:26,all-anti-(AE4T)PbI4,1,15,96,7,22,1,0,3,0,6.0,,,0,"From author, HSE06+SOC",0,,,,
241,2019-04-16 01:54:23,2019-07-12 03:17:13,all-anti-(AE5T)PbBr4,1,1,6,7,23,1,0,3,0,6.0,,,0,from author,1,,,,
242,2019-04-16 01:54:24,2019-08-15 01:59:10,,1,15,96,7,25,1,0,2,0,6.0,,,0,from author,1,,,,
243,2019-04-16 01:54:25,2019-08-15 02:01:02,,1,15,96,7,26,1,0,2,0,6.0,,,0,from author,1,,,,
244,2019-04-16 01:54:25,2019-08-15 02:02:10,,1,15,96,7,27,1,0,2,0,6.0,,,0,from author,1,,,,
245,2019-04-16 01:54:26,2019-08-15 02:11:05,,1,15,96,7,28,1,0,2,0,6.0,,,0,from author,1,,,,
246,2019-04-16 01:54:27,2019-08-15 02:11:16,,1,15,96,7,29,1,0,2,0,6.0,,,0,from author,1,,,,
247,2019-04-16 01:54:27,2019-05-24 16:51:38,,1,15,36,7,30,9,0,3,0,6.0,,,0,from author,1,,,,
248,2019-04-16 01:54:28,2019-05-24 16:52:01,,1,15,36,7,31,9,0,3,0,6.0,,,0,from author,1,,,,
249,2019-04-16 01:54:28,2019-05-24 16:46:33,,1,15,36,7,32,9,0,3,0,6.0,,,0,from author,1,,,,
250,2019-04-16 01:54:29,2019-05-24 16:47:04,,1,15,36,7,33,9,0,3,0,6.0,,,0,from author,1,,,,
251,2019-04-16 01:54:30,2019-05-24 16:53:42,,1,15,36,7,34,9,0,3,0,6.0,,,0,from author,1,,,,
252,2019-04-16 01:54:31,2019-05-24 16:54:16,,1,15,36,7,35,9,0,3,0,6.0,,,0,from author,1,,,,
253,2019-04-16 01:54:31,2019-05-24 16:55:13,,1,15,36,7,36,9,0,3,0,6.0,,,0,from author,1,,,,
254,2019-04-16 01:54:32,2019-05-24 16:55:24,,1,15,36,7,37,9,0,3,0,6.0,,,0,from author,1,,,,
265,2019-04-22 17:26:51,2019-05-09 19:58:26,,1,1,29,7,40,1,0,3,1,6.0,,,1,manual entry,0,,,,
266,2019-04-22 17:32:10,2019-05-09 19:57:26,,1,1,29,7,40,1,0,3,1,6.0,,,1,Manual entry,0,,,,
267,2019-04-22 17:35:07,2019-05-09 19:56:30,,1,1,29,7,40,1,0,3,1,6.0,,,1,manual entry,0,,,,
268,2019-04-22 17:38:41,2019-05-09 19:54:26,,1,1,29,7,40,1,0,3,1,6.0,,,1,manual entry,0,,,,
269,2019-04-22 17:41:55,2019-05-09 19:55:17,,1,1,29,7,24,1,0,3,1,6.0,,,1,manual entry,0,,,,
270,2019-04-22 17:44:09,2019-05-09 19:55:01,,1,1,29,7,24,1,0,3,1,6.0,,,1,manual entry,0,,,,
271,2019-04-22 17:47:47,2019-05-09 19:54:46,,1,1,29,7,24,1,0,3,1,6.0,,,1,manual entry,0,,,,
272,2019-04-26 20:00:58,2019-08-21 17:01:34,,1,16,32,7,45,15,1,2,1,6.0,,,0,,0,,,,
273,2019-04-29 13:25:12,2019-08-21 17:01:55,,1,16,32,7,45,15,0,2,1,6.0,,,0,,0,,,,
274,2019-04-29 13:27:19,2019-05-21 18:11:38,,1,16,32,20,45,15,1,2,1,4.0,18,1.0,0,,1,,,,
275,2019-04-29 13:28:45,2019-05-21 18:12:19,,1,16,32,20,45,15,1,2,1,4.0,18,1.0,0,,0,,,,
277,2019-04-29 20:22:20,2019-05-21 18:13:09,,1,16,32,19,45,15,1,2,1,4.0,5,5.0,0,,1,delta T/T,,,
279,2019-04-30 02:37:05,2019-05-21 18:34:08,,1,13,32,15,45,15,1,2,0,9.0,18,1.0,0,from author,1,,,,
282,2019-04-30 03:05:39,2019-05-21 18:10:44,,1,13,32,7,45,15,1,2,0,6.0,,,0,from author,1,,,,
287,2019-04-30 20:08:31,2019-05-24 17:54:18,,1,13,32,16,45,15,1,2,0,4.0,18,1.0,0,from author,1,,relative to Fermi level,,
296,2019-05-01 16:43:06,2019-05-21 18:32:35,,1,13,32,14,45,15,1,2,0,4.0,18,1.0,0,from author,1,,relative to Fermi level,,
301,2019-05-01 17:46:28,2019-05-24 17:54:55,,1,13,32,16,45,15,1,2,0,4.0,18,1.0,0,from author,0,,relative to Fermi level,,
312,2019-05-02 18:56:48,2019-06-05 19:29:42,,1,13,32,16,46,15,1,3,0,4.0,18,1.0,0,from author,1,,relative to Fermi level,,
313,2019-05-02 19:04:19,2019-06-05 19:30:15,,1,13,32,14,46,15,1,3,0,4.0,18,1.0,0,from author,1,,relative to Fermi level,,
314,2019-05-02 19:27:33,2019-05-02 19:27:33,,1,13,33,7,46,15,0,3,0,6.0,,,0,,1,,,,
316,2019-05-03 03:01:47,2019-05-21 18:14:35,,1,15,32,11,45,15,0,3,0,,,,0,from author,1,,,,
317,2019-05-03 03:04:27,2019-08-20 20:09:01,,1,15,32,1,45,15,0,3,0,1.0,,,0,from author,1,,,,
322,2019-05-07 19:26:04,2019-05-07 19:26:04,,1,16,32,11,46,16,0,2,0,,,,0,,1,,,,
330,2019-05-07 20:14:39,2019-05-07 20:16:34,,1,16,32,11,46,16,0,3,0,,,,0,,0,,,,
332,2019-05-08 20:01:39,2019-05-08 20:01:39,Experimental then geometry optimized,1,1,6,11,3,1,0,3,0,,,,0,From author,1,,,,
333,2019-05-08 20:02:02,2019-05-08 20:10:40,Theory then geometry optimized; all-anti-AE4TPbBr4,1,1,6,11,3,15,0,3,0,,,,0,From author,0,,,,
334,2019-05-08 20:02:21,2019-08-15 01:55:57,,1,15,96,11,4,1,0,2,0,,,,0,From author,1,,,,
335,2019-05-08 20:02:33,2019-08-15 01:55:50,,1,15,96,11,7,1,0,2,0,,,,0,From author,1,,,,
336,2019-05-08 20:02:44,2019-08-15 01:52:24,,1,15,96,11,8,1,0,2,0,,,,0,From author,1,,,,
337,2019-05-08 20:02:54,2019-08-15 01:15:48,,1,15,96,11,12,1,0,2,0,,,,0,From author,1,,,,
338,2019-05-08 20:03:03,2019-08-15 01:51:03,,1,15,96,11,13,1,0,2,0,,,,0,From author,1,,,,
339,2019-05-08 20:03:11,2019-08-15 01:52:52,,1,15,96,11,14,1,0,2,0,,,,0,From author,1,,,,
340,2019-05-08 20:03:17,2019-05-08 20:03:17,Theory then geometry optimized,1,1,6,11,18,1,0,3,0,,,,0,From author,1,,,,
341,2019-05-08 20:03:30,2019-05-08 20:03:30,Theory then geometry optimized,1,1,6,11,19,1,0,3,0,,,,0,From author,1,,,,
342,2019-05-08 20:03:44,2019-05-08 20:03:44,Theory then geometry optimized,1,1,6,11,20,1,0,3,0,,,,0,From author,1,,,,
343,2019-05-08 20:04:00,2019-05-08 20:04:00,Theory then geometry optimized,1,1,6,11,21,1,0,3,0,,,,0,From author,1,,,,
345,2019-05-08 20:04:35,2019-05-08 20:04:35,Theory then geometry optimized,1,1,6,11,23,1,0,3,0,,,,0,From author,1,,,,
346,2019-05-08 20:04:56,2019-08-15 01:59:26,,1,15,96,11,25,1,0,2,0,,,,0,From author,1,,,,
347,2019-05-08 20:05:08,2019-08-15 01:59:48,,1,15,96,11,26,1,0,2,0,,,,0,From author,1,,,,
348,2019-05-08 20:05:19,2019-08-15 01:59:56,,1,15,96,11,27,1,0,2,0,,,,0,From author,1,,,,
349,2019-05-08 20:05:30,2019-08-15 02:00:07,,1,15,96,11,28,1,0,2,0,,,,0,From author,1,,,,
350,2019-05-08 20:05:42,2019-08-15 02:00:18,,1,15,96,11,29,1,0,2,0,,,,0,From author,1,,,,
351,2019-05-08 20:05:56,2019-08-15 02:00:27,,1,15,36,11,30,1,0,2,0,,,,0,From author,1,,,,
352,2019-05-08 20:06:08,2019-05-24 16:45:28,,1,15,36,11,31,9,0,3,0,,,,0,From author,1,,,,
353,2019-05-08 20:06:20,2019-05-24 16:52:37,,1,15,36,11,32,9,0,3,0,,,,0,From author,1,,,,
354,2019-05-08 20:06:33,2019-05-24 16:53:00,,1,15,36,11,33,9,0,3,0,,,,0,From author,1,,,,
355,2019-05-08 20:06:47,2019-05-24 16:48:27,,1,15,36,11,34,9,0,3,0,,,,0,From author,1,,,,
356,2019-05-08 20:07:03,2019-05-24 16:54:35,,1,15,36,11,35,9,0,3,0,,,,0,From author,1,,,,
357,2019-05-08 20:07:19,2019-05-24 16:49:08,,1,15,36,11,36,9,0,3,0,,,,0,From author,1,,,,
358,2019-05-08 20:07:39,2019-05-24 16:49:52,,1,15,36,11,37,9,0,3,0,,,,0,From author,1,,,,
359,2019-05-08 21:39:04,2019-05-08 21:39:04,Theory then geometry optimized; all-anti-AE4TPbCl4,1,15,96,11,21,15,0,3,0,,,,0,From author,0,,,,
360,2019-05-08 21:39:24,2019-05-08 21:39:24,Theory then geometry optimized; all-anti-AE4TPbI4,1,15,96,11,22,15,0,3,0,,,,0,From author,1,,,,
365,2019-05-09 02:03:31,2019-05-28 03:08:30,Fundamental band gap,1,1,6,1,24,1,0,3,0,1.0,,,0,,0,,,,
366,2019-05-09 18:30:49,2019-05-09 18:30:49,Band gap of 2x1 unit cell to illustrate effect of band backfolding compared to 2x2 unit cell,1,13,32,1,33,13,0,3,0,1.0,,,0,from author,1,,,,
367,2019-05-09 18:30:49,2019-06-09 17:40:14,Band gap determined from a Tauc plot,1,1,19,29,38,1,0,3,1,1.0,,,0,"manual entry, page 983 paragraph 5; Fig. 1c.; ESI: 5. Tauc plot",1,,,,
368,2019-05-09 18:30:50,2019-06-09 17:40:22,Band gap determined from a Tauc plot,1,1,19,29,39,1,0,3,1,1.0,,,0,"manual entry, page 983 paragraph 5; Fig. 1c.; ESI: 5. Tauc plot",0,,,,
369,2019-05-10 18:54:18,2019-05-10 18:54:18,,1,1,21,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
370,2019-05-10 18:58:13,2019-05-10 18:58:13,,1,1,21,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
371,2019-05-10 19:01:35,2019-06-09 02:56:36,,1,1,21,7,24,1,0,3,1,6.0,,,0,Manual entry,0,,,,
372,2019-05-22 04:36:25,2019-05-22 04:44:53,,1,1,13,1,24,1,0,3,0,1.0,,,0,manual entry,0,theoretical band gap,,,
373,2019-05-22 04:37:26,2019-05-22 04:45:14,,1,1,13,1,24,1,0,3,0,1.0,,,0,manual entry,0,theoretical band gap,,,
374,2019-05-22 04:41:23,2019-05-22 04:45:31,,1,1,13,1,24,1,0,3,0,1.0,,,0,manual entry,0,theoretical band gap,,,
375,2019-05-22 04:43:32,2019-05-22 04:45:44,,1,1,13,1,24,1,0,3,0,1.0,,,0,manual entry,0,theoretical band gap,,,
376,2019-05-23 15:03:57,2019-05-23 15:03:57,,1,15,17,10,24,15,0,3,1,5.0,,,0,"Manual entry, results and discussion paragraph 2; Fig. 2(a) Peak_T",0,,,,
377,2019-05-23 16:00:35,2019-08-15 00:52:55,,1,1,7,10,2,1,0,2,1,5.0,,,2,Engauge Digitizer (Figure 5),1,,,,
378,2019-05-23 16:00:35,2019-08-15 02:09:21,,1,1,7,10,6,1,0,2,1,5.0,,,2,Engauge Digitizer (Figure 5),1,,,,
379,2019-05-23 16:00:36,2019-08-15 02:08:31,,1,1,7,10,7,1,0,2,1,5.0,,,2,Engauge Digitizer (Figure 5),1,,,,
380,2019-05-23 16:00:36,2019-08-15 01:51:42,,1,1,7,10,8,1,0,2,1,5.0,,,2,Engauge Digitizer (Figure 5),1,,,,
381,2019-05-23 16:00:36,2019-08-15 00:54:41,,1,1,7,10,9,1,0,2,1,5.0,,,2,Engauge Digitizer (Figure 5),1,,,,
