id,compound_name,group,formula,organic,inorganic,last_update,description,iupac
11,Bis(phenylethylammonium) lead bromide,"(PEA)2PbBr4, (C6H5C2H4NH3)2PbBr4, (C8H12N)2PbBr4",C16H24N2PbBr4,C8H12N,"PbBr4, Lead bromide",2021-10-12,,bis(2-phenylethan-1-aminium) lead bromide
12,Bis(phenylmethylammonium) lead iodide,"(PMA)2PbI4, (C7H7NH3)2PbI4, (C7H10N)2PbI4, (C6H5CH2NH3)2PbI4",C14H20N2PbI4,C7H10N,"PbI4, Lead iodide",2021-10-12,,bis(phenylmethanaminium) lead iodide
13,Bis(phenylmethylammonium) lead chloride,"(PMA)2PbCl4, (C6H5CH2NH3)2PbCl4, (C7H10N)2PbCl4, (C7H7NH3)2PbCl4",C14H20N2PbCl4,C7H10N,"PbCl4, Lead chloride",2021-10-04,,bis(phenylmethanaminium) lead chloride
14,Bis(2-naphtylmethylammonium) lead chloride,"(NMA)2PbCl4, (C11H9NH3)2PbCl4, (C11H12N)2PbCl4",C22H24N2PbCl4,C11H12N,"PbCl4, Lead chloride",2021-10-04,,bis(2-(napthalen-2-yl)methanaminium) lead chloride
15,Bis(Butylammonium) germanium iodide,"(C4H9NH3)2GeI4, (C4H12N)2GeI4",C8H24N2GeI4,C4H12N,"GeI4, Germanium iodide",2021-10-04,,bis(butane-1-aminium) germanium iodide
16,Bis(Butylammonium) tin iodide,"(C4H9NH3)2SnI4, (C4H12N)2SnI4",C8H24N2SnI4,C4H12N,"SnI4, Tin iodide",2021-10-04,,bis(butane-1-aminium) tin iodide
17,Bis(Butylammonium) lead iodide,"(C4H9NH3)2PbI4, (C4H12N)2PbI4",C8H24N2PbI4,C4H12N,"PbI4, Lead iodide",2021-10-04,,bis(butane-1-aminium) lead iodide
18,Bis(aminoethyl)-thiophene lead bromide,"AE1TPbBr4, C8H16SN2PbBr4",C8H16N2SPbBr4,C8H16N2S,"PbBr4, Lead bromide",2021-10-04,,"2,5-bis(aminoethyl)-thiophene lead bromide"
19,Bis(aminoethyl)-bithiophene lead bromide,"AE2TPbBr4, (AEBT)PbBr4, AEBTPbBr4, C12H18S2N2PbBr4",C12H18N2S2PbBr4,C12H18N2S2,"PbBr4, Lead bromide",2021-10-04,,"5,5'-bis(aminoethyl)-2,2'-bithiophene lead bromide"
20,Bis(aminoethyl)-terthiophene lead bromide,"AE3TPbBr4, (AE3T)PbBr4, C16H20S3N2PbBr4",C16H20N2S3PbBr4,C16H20N2S3,"PbBr4, Lead bromide",2021-10-04,,"5,5''-bis(aminoethyl)-2,2':5',2''-terthiophene lead bromide"
21,Bis(aminoethyl)-quaterthiophene lead chloride,"AE4TPbCl4, (AEQT)PbCl4, AEQTPbCl4, C20H22S4N2PbCl4",C20H22N2S4PbCl4,C20H22N2S4,"PbCl4, Lead chloride",2021-10-04,,"5,5'''-bis(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene lead chloride"
22,Bis(aminoethyl)-quaterthiophene lead iodide,"AE4TPbI4, (AEQT)PbI4, AEQTPbI4, C20H22S4N2PbI4",C20H22N2S4PbI4,C20H22N2S4,"PbI4, Lead iodide",2021-10-04,,"5,5'''-bis(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene lead iodide"
23,Bis(aminoethyl)-quinquethiophene lead bromide,"AE5TPbBr4, C24H24S5N2PbBr4",C24H24N2S5PbBr4,C24H24N2S5,"PbBr4, Lead bromide",2021-10-04,,"5,5''''-bis(aminoethyl)-2,2':5',2'':5'',2''':5''',2''''-quinquethiophene lead bromide"
24,Methylammonium lead iodide,"MAPI, (MA)PbI3, MAPbI3, (CH3NH3)PbI3",CH3NH3PbI3,CH3NH3,"PbI3, Lead iodide",2021-10-05,,Methanaminium lead iodide
25,Anthracenidemethylammonium lead bromide,"AMA2PbBr4, (C15H11NH3)2PbBr4, (C15H14N)2PbBr4",C30H28N2PbBr4,C15H14N,"PbBr4, Lead bromide",2021-10-04,,anthracenidemethylaminium lead bromide
26,Anthracenidemethylammonium lead iodide,"AMA2PbI4, (C15H11NH3)2PbI4, (C15H14N)2PbI4",C30H28N2PbI4,C15H14N,"PbI4, Lead iodide",2021-10-04,,anthracenidemethylaminium lead iodide
27,Bis(1-(2-naphthyl)methanammonium),"NMA2PbI4, (C11H9NH3)2PbI4, (C11H12N)2PbI4",C22H24N2PbI4,C11H12N,"PbI4, Lead iodide",2021-10-04,,bis(1-(2-naphthyl)methylaminium)
28,Bis(1-tetracenemethylammonium) lead bromide,"(TMA)2PbBr4, (C18H11CH2NH3)2PbBr4, (C19H16N)2PbBr4",C38H32N2PbBr4,C19H16N,"PbBr4, Lead bromide",2021-10-04,,bis(1-tetracenemethylaminium) lead bromide
29,Bis(1-tetracenemethylammonium) lead iodide,"(TMA)2PbI4, (C18H11CH2NH3)2PbI4, (C19H16N)2PbI4",C38H32N2PbI4,C19H16N,"PbI4, Lead iodide",2021-10-04,,bis(1-tetracenemethylaminium) lead iodide
30,Bis(aminoethyl)-thiophene lead chloride,"AE1TPbCl4, (AET)PbCl4, AETPbCl4, C8H16SN2PbCl4",C8H16N2SPbCl4,C8H16N2S,"PbCl4, Lead chloride",2021-10-04,,"2,5-bis(aminoethyl)-thiophene lead chloride"
31,Bis(aminoethyl)-thiophene lead iodide,"AE1TPbI4, (AET)PbI4, AETPbI4, C8H16SN2PbI4",C8H16N2SPbI4,C8H16N2S,"PbI4, Lead iodide",2021-10-04,,"2,5-bis(aminoethyl)-thiophene lead iodide"
32,Bis(aminoethyl)-bithiophene lead chloride,"AE2TPbCl4, (AEDT)PbCl4, AEDTPbCl4, C12H18S2N2PbCl4",C12H18N2S2PbCl4,C12H18N2S2,"PbCl4, Lead chloride",2021-10-04,,"5,5'-bis(aminoethyl)-2,2'-bithiophene lead chloride"
33,Bis(aminoethyl)-bithiophene lead iodide,"AE2TPbI4, (AEDT)PbI4, AEDTPbI4, C12H18S2N2PbI4",C12H18N2S2PbI4,C12H18N2S2,"PbI4, Lead iodide",2021-10-04,,"5,5'-bis(aminoethyl)-2,2'-bithiophene lead iodide"
34,Bis(aminoethyl)-terthiophene lead chloride,"AE3TPbCl4, (AETT)PbCl4, AETTPbCl4, C16H20S3N2PbCl4",C16H20N2S3PbCl4,C16H20N2S3,"PbCl4, Lead chloride",2021-10-04,,"5,5''-bis(aminoethyl)-2,2':5',2''-terthiophene lead chloride"
35,Bis(aminoethyl)-terthiophene lead iodide,"AE3TPbI4, (AETT)PbI4, AETTPbI4, C16H20S3N2PbI4",C16H20N2S3PbI4,C16H20N2S3,"PbI4, Lead iodide",2021-10-04,,"5,5''-bis(aminoethyl)-2,2':5',2''-terthiophene lead iodide"
36,Bis(aminoethyl)-quinquethiophene lead chloride,"AE5TPbCl4, (AE5T)PbCl4, C24H24S5N2PbCl4",C24H24N2S5PbCl4,C24H24N2S5,"PbCl4, Lead chloride",2021-10-04,,"5,5''''-bis(aminoethyl)-2,2':5',2'':5'',2''':5''',2''''-quinquethiophene lead chloride"
37,Bis(aminoethyl)-quinquethiophene lead iodide,"AE5TPbI4, (AE5T)PbI4, C24H24S5N2PbI4",C24H24N2S5PbI4,C24H24N2S5,"PbI4, Lead iodide",2021-10-04,,"5,5''''-bis(aminoethyl)-2,2':5',2'':5'',2''':5''',2''''-quinquethiophene lead iodide"
38,CsPbI3,CsPbI3,CsPbI3,,CsPbI3,2021-08-24,,
39,FAPbI3,"FAPI, (FA)PbI3, HC(NH2)2PbI3, (NH2)2CHPbI3",CH5N2PbI3,CH5N2,"PbI3, Lead iodide",2021-10-04,,
40,Methylammonium lead bromide,"MAPbBr3, MAPB, (MA)PbBr3, (CH3NH3)PbBr3",CH3NH3PbBr3,CH3NH3,"PbBr3, Lead bromide",2021-10-04,,Methanaminium lead bromide
41,FAPbBr3,"FAPBr, (FA)PbBr3 HC(NH2)2PbBr3, (NH2)2CHPbBr3",CH5N2PbBr3,CH5N2,"PbBr3, Lead bromide",2021-10-04,,
42,Methylammonium tin iodide,"MASI, (MA)SnI3, (CH3NH3)SnI3",CH3NH3SnI3,CH3NH3,"SnI3, Tin iodide",2021-10-04,,methanaminium tin iodide
44,FASnI3,"FASI, (FA)SnI3, HC(NH2)2SnI3, (NH2)2CHSnI3",CH5N2SnI3,CH5N2,"SnI3, Tin iodide",2021-10-04,,
45,"5,5'diylbis(amino-ethyl)-[2,2'-bithiophene] silver bismuth iodide","(AE2T)2AgBiI8, (C12H16S2N2)AgBiI8",C12H16N2S2AgBiI8,C12H16N2S2,"AgBiI8, Silver bismuth iodide",2021-10-04,,"5,5'-bis(aminoethyl)-2,2'-bithiophene silver bismuth iodide"
46,Cs2AgBiCl6,,Cs2AgBiCl6,,"AgBiCl6, Silver bismuth chloride",2021-10-04,,
47,"N-methylethane-1,2-diammonium","(N-MEDA)PbBr4, C3N2H12PbBr4",C3H12N2PbBr4,C3H12N2,"PbBr4, Lead bromide",2021-10-04,,"N-methylethane-1,2-diaminium"
48,"N-methylpropane-1,3-diammonium","(N-MPDA)PbBr4, C4N2H14PbBr4",C4H14N2PbBr4,C4H14N2,"PbBr4, Lead bromide",2021-10-04,,"N-methylpropane-1,3-diaminium"
49,"2,2′(ethylenedioxy)bis(ethylammonium) lead chloride","(EDBE)PbCl4, C6H18O2N2PbCl4",C6H18N2O2PbCl4,C6H18N2O2,"PbCl4, Lead chloride",2021-10-04,,"2,2′(ethylenedioxy)bis(ethanaminium) lead chloride"
50,"2,2′(ethylenedioxy)bis(ethylammonium) lead bromide","(EDBE)PbBr4, C6H18O2N2PbBr4",C6H18N2O2PbBr4,C6H18N2O2,"PbBr4, Lead bromide",2021-10-04,,"2,2′(ethylenedioxy)bis(ethanaminium) lead bromide"
51,"2,2′(ethylenedioxy)bis(ethylammonium) lead iodide","(EDBE)PbI4, C6H18O2N2PbI4",C6H18N2O2PbI4,C6H18N2O2,"PbI4, Lead iodide",2021-10-04,,"2,2′(ethylenedioxy)bis(ethanaminium) lead iodide"
53,"5,5‘ ‘‘-bis(aminoethyl)-2,2‘:5‘,2‘ ‘:5‘ ‘,2‘ ‘‘-quaterthiophene antimony iodide","AE4TSb(2/3)I4, (AEQT)Sb(2/3)I4, AEQTSb(2/3)I4, (H2AEQT)Sb(2/3)I4, C20H22S4N2Sb(2/3)I4",C20H22N2S4Sb(2/3)I4,C20H22N2S4,"Sb(2/3)I4, Antimony iodide",2021-10-04,,"5,5‘ ‘‘-bis(aminoethyl)-2,2‘:5‘,2‘ ‘:5‘ ‘,2‘ ‘‘-quaterthiophene antimony iodide"
54,"5,5‘ ‘‘-bis(aminoethyl)-2,2‘:5‘,2‘ ‘:5‘ ‘,2‘ ‘‘-quaterthiophene bismuth iodide","AE4TBi(2/3)I4, (AEQT)Bi(2/3)I4, AEQTBi(2/3)I4, (H2AEQT)Bi(2/3)I4, C20H22S4N2Bi(2/3)I4",C20H22N2S4Bi(2/3)I4,C20H22N2S4,"Bi(2/3)I4, Bismuth iodide",2021-10-04,,"5,5‘ ‘‘-bis(aminoethyl)-2,2‘:5‘,2‘ ‘:5‘ ‘,2‘ ‘‘-quaterthiophene bismuth iodide"
55,Tetra(ethylammonium) lead chloride,"EA4Pb3Cl10, (CH3CH2NH3)4Pb3Cl10, (C2H8N)4Pb3Cl10",C8H32N4Pb3Cl10,C2H8N,"Pb3Cl10, Lead chloride",2021-10-04,,tetra(ethanaminium) lead chloride
56,Tetra(ethylammonium) lead bromide,"EA4Pb3Br10, (CH3CH2NH3)4Pb3Br10, (C2H8N)4Pb3Br10",C8H32N4Pb3Br10,C2H8N,"Pb3Br10, Lead bromide",2021-10-04,,tetra(ethanaminium) lead bromide
57,"tetra(N,N′-dimethylethylene-1,2-diammonium bromide) tin bromide","(C4N2H14Br)4SnBr6, (C4H14N2Br)4SnBr6",C16H56N8Br4SnBr6,C4H14N2Br,"SnBr6, Tin bromide",2021-10-04,,"tetra(N,N′-dimethylethylene-1,2-diaminium-bromide) tin bromide"
58,"tetra(N,N′-dimethylethylene-1,2-diammonium iodide) tin iodide","(C4N2H14I)4SnI6, (C4H14N2I)4SnI6",C16H56N8I4SnI6,C4H14N2I,"SnI6, Tin iodide",2021-10-04,,"tetra(N,N′-dimethylethylene-1,2-diaminium-iodide) tin iodide"
59,Bis(1-butyl-1-methylpyrrolidinium) antimony chloride,"(C9NH20)2SbCl5, (C9H20N)2SbCl5",C18H40N2SbCl5,C9H20N,"SbCl5, Antimony chloride",2021-10-04,,bis(1-butyl-1-methylpyrrolidinium) antimony chloride
60,Bis(hexylammonium) lead iodide,"HA2PbI4, (C6H13NH3)2PbI4, (C6H16N)2PbI4",C12H32N2PbI4,C6H16N,"PbI4, Lead iodide",2021-10-19,hexylammonium lead iodide,bis(hexyl-1-aminium) lead iodide
61,Bis(dodecylammonium) lead iodide,"DA2PbI4, (C12H25NH3)2PbI4, (C12H28N)2PbI4",C24H56N2PbI4,C12H28N,"PbI4, Lead iodide",2021-10-04,dodecylammonium lead iodide,dodecyl-1-aminium lead iodide
63,"2-methyl-1,5-pentanediamine lead bromide","(MPenDA)PbBr4, NH3C5H9CH3NH3PbBr4",C6H18N2PbBr4,C6H18N2,"PbBr4, Lead bromide",2021-10-04,,"methyl-2-pentane-1,5-diaminium lead bromide"
64,Bis(butylammonium) lead bromide,"(BA)2PbBr4, (C4H12N)2PbBr4",C8H24N2PbBr4,C4H12N,"PbBr4, Lead bromide",2021-10-04,,bis(butyl-1-aminium) lead bromide
65,"1,8-octyldiammonium lead bromide","(ODA)PbBr4, NH3C8H16NH3PbBr4",C8H22N2PbBr4,C8H22N2,"PbBr4, Lead bromide",2021-10-04,,"octane-1,8-diaminium lead bromide"
66,bis(4-aminobutonic acid) lead bromide,"(GABA)2PbBr4, C8H20O4N2PbBr4, (C4H10NO2)2PbBr4",C8H20N2O4PbBr4,C4H10NO2,"PbBr4, Lead bromide",2021-10-04,,bis(4-aminobutanoic acid) lead bromide
67,3-(2-ammonioethyl)anilinium lead bromide,(AEA)PbBr4,C8H14N2PbBr4,C8H14N2,"PbBr4, Lead bromide",2021-10-04,,3-(2-ethanaminium)anilinium lead bromide
68,"1,4-butyldiammonium lead bromide","(BDA)PbBr4, C4N2H14PbBr4, NH3C4H8NH3PbBr4",C4H14N2PbBr4,C4H14N2,"PbBr4, Lead bromide",2021-10-04,,"butyl-1,4-diaminium lead bromide"
69,Histammonium lead bromide,"(HA)PbBr4, (HIS)PbBr4, (C5H11N3)PbBr4",C5H11N3PbBr4,C5H11N3,"PbBr4, Lead bromide",2021-10-04,,4-(2-ethanaminium)-1H-imidazol-3-ium) lead bromide
70,"Tris(2,6-dimethylpiperazine) lead bromide","(2,6-dmpz)3Pb2Br10, (C6H16N2)3Pb2Br10",C18H48N6Pb2Br10,C6H16N2,"Pb2Br10, Lead bromide",2021-10-04,,"2,6-dimethyl-1,3-diazinanium lead bromide"
71,4-(aminomethyl)piperidine lead bromide,"(4AMP)PbBr4, (C6H16N2)PbBr4",C6H16N2PbBr4,C6H16N2,"PbBr4, Lead bromide",2021-10-04,,4-(methanaminium)piperidine lead bromide
72,1-ethylpiperazine lead bromide,"(epz)PbBr4, (C6H16N2)PbBr4",C6H16N2PbBr4,C6H16N2,"PbBr4, Lead bromide",2021-10-04,,"1-ethane-1,3-diazinanium lead bromide"
73,Bis(1-methylpiperazine) lead bromide,"(mpz)2Pb3Br10, (C5H14N2)2Pb3Br10",C10H28N4Pb3Br10,C5H14N2,"Pb3Br10, Lead bromide",2021-10-05,,"bis(1-methane-1,3-diazinanium) lead bromide"
74,Homopiperazine lead bromide,"(hmp)PbBr4, (C5H14N2)PbBr4",C5H14N2PbBr4,C5H14N2,"PbBr4, Lead bromide",2021-10-05,,"1,4-diazepanium lead bromide"
75,Hexamethylenimine lead bromide,"(hex)PbBr3, (C6H14N)PbBr3",C6H14NPbBr3,C6H14N,"PbBr3, Lead bromide",2021-10-05,,azepanium lead bromide
76,Heptamethylenimine lead bromide,"(hep)PbBr3, (C7H16N)PbBr3",C7H16NPbBr3,C7H16N,"PbBr3, Lead bromide",2021-10-05,,azocanium lead bromide
77,Bis(3-(aminomethyl)piperidinium) tris(methylammonium) lead iodide,"3-(aminomethyl)piperidinium methylammonium,((3-AMP)2(MA)3",C15H46N7Pb4I13,"C6H14N2, CH6N","Pb4I13, Lead iodide",2021-10-05,,3-(methanaminium)piperidinium lead iodide
79,Formandium germanium iodide,"FAGeI3, HC(NH2)2GeI3, (NH2)2CHGeI3",CH5N2GeI3,CH5N2,"GeI3, Germanium iodide",2021-10-19,,diaminomethanide germanium iodide
80,4-fluorophenethylammonium lead iodide,pF1PEA2PbI4,C16H22N2F2PbI4,C16H22N2F2,"PbI4, Lead iodide",2021-10-05,,4-fluorophenethanaminium lead iodide
82,3-fluorophenethylammonium lead iodide,mF1PEA2PbI4,C16H22N2F2PbI4,C16H22N2F2,"PbI4, Lead iodide",2021-10-05,,3-fluorophenethanaminium lead iodide
83,2-fluorophenethylammonium lead iodide,oF1PEA2PbI4,C16H22N2F2PbI4,C16H22N2F2,"PbI4, Lead iodide",2021-10-05,,2-fluorophenethanaminium lead iodide
84,Phenethylammonium perfluorophenethylammonium lead iodide,((PEA)0.5(F[5]-PEA)0.5)2PbI4,C32H38N4F2Pb2I8,"C8H16N, FC8H16N","Pb2I8, Lead iodide",2021-10-05,,phenethanaminium perfluorophenethanaminium lead iodide
85,Bis(perfluorophenethylammonium) lead iodide,(F[5]-PEA)2PbI4,C32H38F2N4Pb2I8,(F5-PEA)2,"Pb2I8, Lead iodide",2021-10-05,,bis(perfluorophenethanaminium) lead iodide
86,2-dimethylamino-1-ethylamine lead bromide,"(DMEN)PbBr4,2-(dimethylamino)ethylamine, ((CH3)2NH(CH2)2NH3)PbBr4",C4H14N2PbBr4,C4H14N2,"PbBr4, Lead bromide",2021-10-05,α-(DMEN)PbBr4,"N,N,N-dimethylethanaminium lead bromide"
87,1-methyl-hexylammonium,"[C14H36N2]PbI4, (1-Me-ha)2PbI4",C14H36N2PbI4,C14H36N2,"PbI4, Lead iodide",2021-10-05,2D hybrid organic-inorganic perovskite,1-methyl-hexanaminium lead iodide
88,bis(methylammonium) lead thiocyanate iodide,"(MA)2Pb(SCN)2I2, (CH3NH3)2Pb(SCN)2I2",C4H12N4S2PbI2,CH3NH3,"Pb(SCN)2I2, Lead thiocyanate iodide",2021-10-05,,bis(methanaminium) lead thiocyanate iodide
89,AzoEA2PbI4,AzoEA2PbI4,C28H32N6PbI4,C28H32N6,"PbI4, Lead iodide",2021-10-05,,
90,"N,N′-dimethylethylenediaminium tin bromide",C4N2H14SnBr4,C4H14N2SnBr4,C4H14N2,"SnBr4, Tin bromide",2021-10-05,,"N,N′-dimethylethylenediaminium tin bromide"
91,3-(aminomethyl)piperidinium lead iodide,"(3-AMP)PbI14, (3AMP)PbI4, (C6N2H16)PbI4",C6H16N2PbI4,C6H16N2,"PbI4, Lead iodide",2021-10-19,,3-(methanaminium)piperidinium lead iodide
92,Bis(1-butylammonium) bis(methylammonium) lead iodide,(BA)2(MA)2Pb3I10,C10H36N4Pb3I10,"C4H12N, CH6N","PbI4, Lead iodide",2021-10-05,,bis(butane-1-aminium) di(methanaminium) lead iodide
93,Bis(tropylium) tin iodide,(C7H7)2SnI6,C14H14SnI6,C7H7,"SnI6, tin iodide",2021-10-05,,
94,Acetamidinium Germanium Iodide,CH3C(NH2)2GeI3,C2H7N2GeI3,C2H7N2,"GeI3, Germanium iodide",2021-10-05,,1-aminoethane-2-aminium germanium iodide
95,Guanidinium Germanium Iodide,C(NH2)3GeI3,CH6N3GeI3,CH6N3,"GeI3, Germanium iodide",2021-10-05,,diaminomethanaminium germanium iodide
96,Tropylium Lead Iodide,(C7H7)+PbI3,C7H7PbI3,C7H7,"PbI3, Lead iodide",2021-10-05,,
97,3-(dimethylamino)-1-propylamine lead bromide,"(DMAPA)PbBr4, [(CH3)2NH(CH2)3NH3]PbBr4",C5H16N2PbBr4,C5H16N2,"PbBr4, Lead bromide",2021-10-05,,"3-(N,N-dimethanaminium)-propane-1-aminium lead bromide"
98,Bis(1-butylammonium) tris(methylammonium) lead iodide,(BA)2(MA)3Pb4I13,C11H39N5Pb4I13,"C4H12N, CH6N","PbI4, Lead iodide",2021-10-05,,bis(butane-1-aminium) tris(methanaminium) lead iodide
99,4-dimethylaminobutylamine lead bromide,"(DMABA)PbBr4, [(CH3)2NH(CH2)4NH3]PbBr4",C6H18N2PbBr4,C6H18N2,"PbBr4, Lead bromide",2021-10-05,,"3-(N,N-dimethanaminium)-butane-1-aminium lead bromide"
100,N-(3-aminopropyl)imidazole lead chloride,N-(3-aminopropyl)imidazole tetrachloro-lead,C6H13N3PbCl4,C6H13N3,"PbCl4, Lead chloride",2021-08-24,,3-(propane-1-aminium)imidazolium lead chloride
102,"N, N′-dimethylethylenediamine lead bromide",C4N2H14PbBr4,C4H14N2PbBr4,C4H14N2,"PbBr4, Lead bromide",2022-01-06,,"N, N′-dimethylethylenediaminium lead bromide"
105,Tris(methylammonium) Germanium Iodide,"(CH3)3NHGeI3, Trimethylammonium Germanium Iodide",C3H10NGeI3,C3H10N,"GeI3, Germanium iodide",2022-01-06,,trimethanaminium germanium iodide
106,Isopropylammonium Germanium Iodide,"(CH3)2C(H)NH3GeI3, Isopropylammonium Germanium Iodide",C3H10NGeI3,C3H10N,"GeI3, Germanium iodide",2022-01-06,,Isopropanaminium germanium iodide
107,"N,N-dimethylphenylene-p-diammonium lead iodide",,C8H14N2PbI4,C8H14N2,"PbI4, Lead iodide",2022-01-06,,"benzene-1,4-di(methanaminium) lead iodide"
108,"N,N-dimethylphenylene-p-diammonium lead bromide",,C8H14N2PbBr4,C8H14N2,"PbBr4, Lead bromide",2022-01-06,,"benzene-1,4-di(methanaminium) lead bromide"
109,Bis(2-ethyl-hexylammonium) lead iodide,(2-Et-ha)2PbI4,C16H40N2PbI4,C8H20N,"PbI4, Lead iodide",2022-01-06,,bis(2-ethyl-1-hexanaminium) lead iodide
110,bis(2-phenethylammonium) methylammonium lead iodide,"(C6H5(CH2)2NH3)2(CH3NH3)Pb2I7, (PEA)2(MA)Pb2I7",C17H30N3Pb2I7,"C8H12N, CH6N","Pb2I7, Lead iodide",2022-01-06,,bis(2-phenylethanaminium) methanaminium lead iodide
111,bis(sec-butylammonium) lead iodide,(1-Me-pa)2PbI4,C8H24N2PbI4,C4H12N,"PbI4, Lead iodide",2022-01-06,,1-methyl-1-propanaminium lead iodide
113,ammonium tin iodide,Ammonium Tin Iodide,NH4SnI3,NH4,"SnI3, Tin iodide",2022-01-06,,aminium tin iodide
114,bis(1-methyl-butylammonium) lead iodide,(1-Me-ba)2PbI4,C10H30N2PbI4,C5H15N,"PbI4, Lead iodide",2022-01-06,,1-methyl-1-butanaminium lead iodide
115,MeTz-PhMA2PbI4,"(3-methyl-(p-tolyl)-1,2,4,5- tetrazine-6-)methanaminium lead iodide",C20H24N10PbI4,C20H24N10,"PbI4, Lead iodide",2022-01-06,,
116,MeTz-PhMA2PbBr4,"(3-methyl-(p-tolyl)-1,2,4,5- tetrazine-6-)methanaminium lead bromide",C20H24N10PbBr4,C20H24N10,"PbBr4, Lead bromide",2021-10-19,,
117,Cs4SnBr6,,Cs4SnBr6,,"SnBr6, Tin bromide",2022-01-06,,
118,Cs4SnI6,,Cs4SnI6,,"SnI6, Tin iodide",2021-08-24,,
119,"N, N′-dimethylethylenediamine lead chloride",,C4H14N2PbCl4,C4H14N2,"PbCl4, Lead chloride",2022-01-06,,"N, N′-dimethylethylenediaminium lead chloride"
120,"tetrakis(N,N′-dimethylethylene-1,2-diammonium-bromo) tin bromide iodide",,(C16H52N8Br4SnBr3I3,C4H14N2Br,"SnBr3I3, Tin bromide iodide",2022-01-06,,"tetrakis(N,N′-dimethylethylene-1,2-diaminium-bromo) tin bromide iodide"
121,"1,4-phenyldiammonium lead iodide dihydrate",H3NC6H4NH3PbI4-2H2O,C6H10N2PbI4-2H2O,C6H10N2,"PbI4, Lead iodide",2022-01-06,,"1,4-phenyldiaminium lead iodide dihydrate"
122,"bis­(3,5-dimethyl­anilinium) lead iodide",(C6H3NH3(CH3)2)2PbI4,C16H24N2PbI4,C8H12N,"PbI4, Lead iodide",2022-01-06,,"bis­(3,5-dimethyl­anilinium) lead iodide"
123,Diiodoformamidinium bis(methylammonium) tin iodide,[NH2C(I)=NH2]2(CH3NH3)2Sn2I8,C4H20I2N5Sn2I8,"CH4IN2, CH6N","Sn2I8, Tin iodide",2022-01-06,,diiododiaminomethanide bis(methanaminium)
